gene_id	gene_name	acronym	geneProduct	A86	A256	A485	A86256	A86485	dnf2
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146131	MtrunA17Chr1g0146131	""	""	-1.91847438548991	-0.960618744610307	-1.15184617489048	-1.40633818342161	-7.00097008604754	-4.03742696707129
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0152831	MtrunA17Chr1g0152831	""	""	6.42396885099783	7.37891633404276	7.35650827679132	5.94563536607984	2.09321534793387	9.7190511686582
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0157821	MtrunA17Chr1g0157821	""	""	-1.43827684925761	-0.624111006465147	-0.27017378357101	-0.0769366919941061	-6.03920261599577	-10.049722719822
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0158021	MtrunA17Chr1g0158021	""	""	3.72790757152577	4.85298082641985	5.81143941498137	6.74092165103426	1.84382584869324	2.03389231964024
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0161041	MtrunA17Chr1g0161041	""	""	3.8798732114835	2.84232842133019	4.7120141334413	3.30568981558094	0	9.41429328521674
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0162491	MtrunA17Chr1g0162491	""	""	4.83004968144462	5.45706587356239	4.30918245387805	4.58425793609884	0.691324670091514	-0.457434406796449
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0170561	MtrunA17Chr1g0170561	""	""	0.462887552008082	1.09528812656082	1.23391079756849	0.473494950423796	-6.71144871857052	-6.71144871857052
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0177931	MtrunA17Chr1g0177931	""	""	-0.847032520636462	-0.380874148042588	-0.0821515833158095	-0.429970803537298	-0.949145043627828	-8.27826167183425
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0179221	MtrunA17Chr1g0179221	""	""	-1.1683845018033	-0.447631065221983	-0.597111610656739	-1.180443241515	-7.17457490609508	-7.17457490609508
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0179891	MtrunA17Chr1g0179891	""	""	4.96320279057929	5.24797736871558	5.02052246336109	6.81272111531159	2.90347373378693	6.06049404364001
