ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map05418	Fluid shear stress and atherosclerosis	1/72	107/5968	0.00934579439252336	0.77466251298027	-0.259899237039784	0.730309290725734	0.829908669935018	0.810182487627565	MtrunA17_Chr5g0415771	1	TRX
map00520	Amino sugar and nucleotide sugar metabolism	1/72	110/5968	0.00909090909090909	0.753535353535354	-0.288298126643987	0.740128469356218	0.829908669935018	0.810182487627565	MtrunA17_Chr5g0425531	1	MtrunA17Chr5g0425531
map04145	Phagocytosis	1/72	110/5968	0.00909090909090909	0.753535353535354	-0.288298126643987	0.740128469356218	0.829908669935018	0.810182487627565	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
map03018	RNA degradation	1/72	112/5968	0.00892857142857143	0.740079365079365	-0.306841972736632	0.746477852094237	0.829908669935018	0.810182487627565	MtrunA17_Chr2g0330871	1	MtrunA17Chr2g0330871
map03015	mRNA surveillance pathway	1/72	113/5968	0.00884955752212389	0.733529990167158	-0.316001860582228	0.749594927683242	0.829908669935018	0.810182487627565	MtrunA17_Chr3g0126581	1	MtrunA17Chr3g0126581
map05203	Viral carcinogenesis	1/72	118/5968	0.00847457627118644	0.702448210922787	-0.360737396180673	0.764622282768809	0.839054540383472	0.819110968965189	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map05200	Pathways in cancer	1/72	137/5968	0.0072992700729927	0.605028386050284	-0.516797229995319	0.814040411221561	0.871718026926957	0.850998073825128	MtrunA17_Chr2g0295411	1	MtPLD14
map04120	Ubiquitin mediated proteolysis	1/72	140/5968	0.00714285714285714	0.592063492063492	-0.539712342458809	0.820845428666585	0.871718026926957	0.850998073825128	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map04714	Thermogenesis	1/72	141/5968	0.00709219858156028	0.587864460204886	-0.547258661329567	0.82305873153824	0.871718026926957	0.850998073825128	MtrunA17_Chr1g0211711	1	MtJMJ12
map05208	Chemical carcinogenesis - reactive oxygen species	1/72	141/5968	0.00709219858156028	0.587864460204886	-0.547258661329567	0.82305873153824	0.871718026926957	0.850998073825128	MtrunA17_Chr2g0295411	1	MtPLD14
map04110	Cell cycle	1/72	144/5968	0.00694444444444444	0.575617283950617	-0.569631215723018	0.829538122398233	0.871718026926957	0.850998073825128	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map04626	Plant-pathogen interaction	3/72	411/5968	0.0072992700729927	0.605028386050284	-0.916921438094372	0.882242652282751	0.907595638328442	0.886022906687359	MtrunA17_Chr5g0440201/MtrunA17_Chr8g0347121/MtrunA17_Chr5g0430621	3	MtrunA17Chr5g0440201/MtCNGCIa/MtrunA17Chr5g0430621
map05020	Prion disease	1/72	175/5968	0.00571428571428571	0.473650793650794	-0.780920389515984	0.884198405243327	0.907595638328442	0.886022906687359	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
map04141	Protein processing in endoplasmic reticulum	1/72	176/5968	0.00568181818181818	0.470959595959596	-0.787220560493961	0.885637679336625	0.907595638328442	0.886022906687359	MtrunA17_Chr6g0475981	1	MtrunA17Chr6g0475981
map05016	Huntington disease	1/72	200/5968	0.005	0.414444444444445	-0.930756349200233	0.915347231351096	0.930352923668327	0.908239271832408	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
map05014	Amyotrophic lateral sclerosis	1/72	239/5968	0.00418410041841004	0.346815434681543	-1.13883546412151	0.948218196087371	0.949511679535277	0.926942641312028	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
map05022	Pathways of neurodegeneration - multiple diseases	1/72	241/5968	0.004149377593361	0.343937298294145	-1.14883010450778	0.949511679535277	0.949511679535277	0.926942641312028	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
